model,run,select_metric,best_epoch,epochs_trained,train_samples,val_samples,test_samples,train_acc_at_best,train_f1_at_best,train_precision_at_best,train_recall_at_best,train_loss_at_best,train_err_at_best,val_acc_at_best,val_f1_at_best,val_precision_at_best,val_recall_at_best,val_loss_at_best,val_err_at_best,test_acc,test_f1,test_precision,test_recall,test_loss,test_err,test_sample_count,test_time_seconds,train_time_seconds,total_time_seconds,student_ms,best_checkpoint
speechbrain_ecapa,1,f1,0,0,8946,696,444,0.7473731276548178,0.7654628476546286,0.7143133836916521,0.8245025709814442,,0.2526268723451822,0.882183908045977,0.8940568475452195,0.812206572769953,0.9942528735632183,,0.11781609195402298,0.8175675675675675,0.8120649651972159,0.8373205741626795,0.7882882882882883,,0.18243243243243246,444,21.85265990003245,466.50189610000234,488.3545560000348,49.21770247755056,speechbrain/spkrec-ecapa-voxceleb
speechbrain_xvector,1,f1,0,0,8946,696,444,0.5,0.6666666666666666,0.5,1.0,,0.5,0.5,0.6666666666666666,0.5,1.0,,0.5,0.5,0.6666666666666666,0.5,1.0,,0.5,444,3.379187099984847,76.65717570000561,80.03636279999046,7.610781756722629,speechbrain/spkrec-xvect-voxceleb
resemblyzer_ge2e,1,f1,0,0,8946,696,444,0.5868544600938967,0.6996098829648894,0.5496105222832333,0.9622177509501453,,0.41314553990610325,0.5991379310344828,0.7138461538461539,0.5550239234449761,1.0,,0.40086206896551724,0.6644144144144144,0.7315315315315316,0.6096096096096096,0.9144144144144144,,0.3355855855855856,444,5.689680700015742,120.8636868999456,126.55336759996135,12.814596171206627,resemblyzer/GE2E
wespeaker_english,1,f1,0,0,8946,696,444,0.8154482450257098,0.792822185970636,0.903604118993135,0.7062374245472837,,0.18455175497429022,0.9051724137931034,0.8987730061349694,0.9638157894736842,0.8419540229885057,,0.09482758620689657,0.740990990990991,0.658753709198813,0.9652173913043478,0.5,,0.25900900900900903,444,79.97222769999644,1710.1734195000026,1790.145647199999,180.11762995494692,wespeaker_nuaazs:english
