model,runs,test_acc_mean,test_acc_std,test_f1_mean,test_f1_std,test_err_mean,test_err_std,test_loss_mean,test_loss_std,val_acc_mean,val_acc_std,val_f1_mean,val_f1_std,val_err_mean,val_err_std,val_loss_mean,val_loss_std,train_time_seconds_mean,train_time_seconds_std,test_time_seconds_mean,test_time_seconds_std,total_time_seconds_mean,total_time_seconds_std,student_ms_mean,student_ms_std
speechbrain_ecapa,1,0.8175675675675675,0.0,0.8120649651972159,0.0,0.18243243243243246,0.0,,,0.882183908045977,0.0,0.8940568475452195,0.0,0.11781609195402298,0.0,,,466.50189610000234,0.0,21.85265990003245,0.0,488.3545560000348,0.0,49.21770247755056,0.0
speechbrain_xvector,1,0.5,0.0,0.6666666666666666,0.0,0.5,0.0,,,0.5,0.0,0.6666666666666666,0.0,0.5,0.0,,,76.65717570000561,0.0,3.379187099984847,0.0,80.03636279999046,0.0,7.610781756722629,0.0
resemblyzer_ge2e,1,0.6644144144144144,0.0,0.7315315315315316,0.0,0.3355855855855856,0.0,,,0.5991379310344828,0.0,0.7138461538461539,0.0,0.40086206896551724,0.0,,,120.8636868999456,0.0,5.689680700015742,0.0,126.55336759996135,0.0,12.814596171206627,0.0
wespeaker_english,1,0.740990990990991,0.0,0.658753709198813,0.0,0.25900900900900903,0.0,,,0.9051724137931034,0.0,0.8987730061349694,0.0,0.09482758620689657,0.0,,,1710.1734195000026,0.0,79.97222769999644,0.0,1790.145647199999,0.0,180.11762995494692,0.0
