model,run,epoch,test_acc,test_f1,test_loss,test_precision,test_recall,train_loss,args
final_model,1,16,0.6981981981981982,0.6747572815533981,0.6093813105746433,0.7315789473684211,0.6261261261261262,1.6542922847894064,"{'models': ['final_model', 'escapetdnn', 'redimnet', 'sincnet'], 'old_csv': 'dl_model/baseline_train_test_segments.csv', 'old_train_audio_dir': 'datasets/mlp_train/train', 'old_test_audio_dir': 'datasets/mlp_train/test', 'new_test_csv': 'dl_model/baseline_train_test_segments_switchlingua_seame.csv', 'new_test_audio_dir': 'datasets/baseline_switchlingua_seame_testset/test', 'soft_labels_cache': 'dl_model/checkpoints/speechbrain_soft_labels_old_all_eval_new.pt', 'checkpoint_dir': 'dl_model/compare/checkpoints', 'summary_path': 'dl_model/compare/summary.json', 'student_device': 'auto', 'epochs': 60, 'batch_size': 64, 'lr': 0.0005, 'min_lr': 1e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.03, 'alpha': 0.45, 'temperature': 2.0, 'patience': 10, 'grad_clip': 5.0, 'seed': 42, 'sr': 16000, 'n_mels': 40, 'emb_dim': 192, 'student_channels': [128, 192, 256, 256], 'ecapa_channels': 256, 'redimnet_channels': 48, 'sinc_channels': 80, 'dropout': 0.15, 'time_mask_max': 12, 'freq_mask_max': 8, 'amp': True, 'waveform_aug': True, 'eval_tta_swap': True, 'num_workers': 0, 'benchmark_samples': 100, 'repeat': 1}"
escapetdnn,1,2,0.6666666666666666,0.6711111111111111,0.6322733099396164,0.6622807017543859,0.6801801801801802,1.6902112622349528,"{'models': ['final_model', 'escapetdnn', 'redimnet', 'sincnet'], 'old_csv': 'dl_model/baseline_train_test_segments.csv', 'old_train_audio_dir': 'datasets/mlp_train/train', 'old_test_audio_dir': 'datasets/mlp_train/test', 'new_test_csv': 'dl_model/baseline_train_test_segments_switchlingua_seame.csv', 'new_test_audio_dir': 'datasets/baseline_switchlingua_seame_testset/test', 'soft_labels_cache': 'dl_model/checkpoints/speechbrain_soft_labels_old_all_eval_new.pt', 'checkpoint_dir': 'dl_model/compare/checkpoints', 'summary_path': 'dl_model/compare/summary.json', 'student_device': 'auto', 'epochs': 60, 'batch_size': 64, 'lr': 0.0005, 'min_lr': 1e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.03, 'alpha': 0.45, 'temperature': 2.0, 'patience': 10, 'grad_clip': 5.0, 'seed': 42, 'sr': 16000, 'n_mels': 40, 'emb_dim': 192, 'student_channels': [128, 192, 256, 256], 'ecapa_channels': 256, 'redimnet_channels': 48, 'sinc_channels': 80, 'dropout': 0.15, 'time_mask_max': 12, 'freq_mask_max': 8, 'amp': True, 'waveform_aug': True, 'eval_tta_swap': True, 'num_workers': 0, 'benchmark_samples': 100, 'repeat': 1}"
redimnet,1,16,0.6801801801801802,0.7300380228136882,0.6304253339767456,0.631578947368421,0.8648648648648649,1.671068706849318,"{'models': ['final_model', 'escapetdnn', 'redimnet', 'sincnet'], 'old_csv': 'dl_model/baseline_train_test_segments.csv', 'old_train_audio_dir': 'datasets/mlp_train/train', 'old_test_audio_dir': 'datasets/mlp_train/test', 'new_test_csv': 'dl_model/baseline_train_test_segments_switchlingua_seame.csv', 'new_test_audio_dir': 'datasets/baseline_switchlingua_seame_testset/test', 'soft_labels_cache': 'dl_model/checkpoints/speechbrain_soft_labels_old_all_eval_new.pt', 'checkpoint_dir': 'dl_model/compare/checkpoints', 'summary_path': 'dl_model/compare/summary.json', 'student_device': 'auto', 'epochs': 60, 'batch_size': 64, 'lr': 0.0005, 'min_lr': 1e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.03, 'alpha': 0.45, 'temperature': 2.0, 'patience': 10, 'grad_clip': 5.0, 'seed': 42, 'sr': 16000, 'n_mels': 40, 'emb_dim': 192, 'student_channels': [128, 192, 256, 256], 'ecapa_channels': 256, 'redimnet_channels': 48, 'sinc_channels': 80, 'dropout': 0.15, 'time_mask_max': 12, 'freq_mask_max': 8, 'amp': True, 'waveform_aug': True, 'eval_tta_swap': True, 'num_workers': 0, 'benchmark_samples': 100, 'repeat': 1}"
sincnet,1,9,0.6666666666666666,0.6145833333333334,0.6407115174843384,0.7283950617283951,0.5315315315315315,1.6710804096409972,"{'models': ['final_model', 'escapetdnn', 'redimnet', 'sincnet'], 'old_csv': 'dl_model/baseline_train_test_segments.csv', 'old_train_audio_dir': 'datasets/mlp_train/train', 'old_test_audio_dir': 'datasets/mlp_train/test', 'new_test_csv': 'dl_model/baseline_train_test_segments_switchlingua_seame.csv', 'new_test_audio_dir': 'datasets/baseline_switchlingua_seame_testset/test', 'soft_labels_cache': 'dl_model/checkpoints/speechbrain_soft_labels_old_all_eval_new.pt', 'checkpoint_dir': 'dl_model/compare/checkpoints', 'summary_path': 'dl_model/compare/summary.json', 'student_device': 'auto', 'epochs': 60, 'batch_size': 64, 'lr': 0.0005, 'min_lr': 1e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.03, 'alpha': 0.45, 'temperature': 2.0, 'patience': 10, 'grad_clip': 5.0, 'seed': 42, 'sr': 16000, 'n_mels': 40, 'emb_dim': 192, 'student_channels': [128, 192, 256, 256], 'ecapa_channels': 256, 'redimnet_channels': 48, 'sinc_channels': 80, 'dropout': 0.15, 'time_mask_max': 12, 'freq_mask_max': 8, 'amp': True, 'waveform_aug': True, 'eval_tta_swap': True, 'num_workers': 0, 'benchmark_samples': 100, 'repeat': 1}"
