model,run,epoch,test_acc,test_f1,test_loss,test_precision,test_recall,train_loss,args
final_model,1,7,0.6891891891891891,0.7012987012987014,0.6213374717815502,0.675,0.7297297297297297,1.6705161519906624,"{'models': ['final_model', 'escapetdnn', 'redimnet', 'sincnet'], 'old_csv': 'dl_model/baseline_train_test_segments.csv', 'old_train_audio_dir': 'datasets/mlp_train/train', 'old_test_audio_dir': 'datasets/mlp_train/test', 'new_test_csv': 'dl_model/baseline_train_test_segments_switchlingua_seame.csv', 'new_test_audio_dir': 'datasets/baseline_switchlingua_seame_testset/test', 'soft_labels_cache': 'dl_model/checkpoints/speechbrain_soft_labels_old_all_eval_new.pt', 'checkpoint_dir': 'dl_model/compare/checkpoints', 'summary_path': 'dl_model/compare/summary.json', 'student_device': 'auto', 'epochs': 60, 'batch_size': 64, 'lr': 0.0005, 'min_lr': 1e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.03, 'alpha': 0.45, 'temperature': 2.0, 'patience': 10, 'grad_clip': 5.0, 'seed': 42, 'sr': 16000, 'n_mels': 40, 'emb_dim': 192, 'student_channels': [128, 192, 256, 256], 'ecapa_channels': 256, 'redimnet_channels': 48, 'sinc_channels': 80, 'dropout': 0.15, 'time_mask_max': 12, 'freq_mask_max': 8, 'amp': True, 'waveform_aug': True, 'eval_tta_swap': True, 'num_workers': 0, 'benchmark_samples': 100, 'repeat': 1}"
escapetdnn,1,4,0.6238738738738738,0.6913123844731978,0.7198349607957376,0.5862068965517241,0.8423423423423423,1.6744852597991173,"{'models': ['final_model', 'escapetdnn', 'redimnet', 'sincnet'], 'old_csv': 'dl_model/baseline_train_test_segments.csv', 'old_train_audio_dir': 'datasets/mlp_train/train', 'old_test_audio_dir': 'datasets/mlp_train/test', 'new_test_csv': 'dl_model/baseline_train_test_segments_switchlingua_seame.csv', 'new_test_audio_dir': 'datasets/baseline_switchlingua_seame_testset/test', 'soft_labels_cache': 'dl_model/checkpoints/speechbrain_soft_labels_old_all_eval_new.pt', 'checkpoint_dir': 'dl_model/compare/checkpoints', 'summary_path': 'dl_model/compare/summary.json', 'student_device': 'auto', 'epochs': 60, 'batch_size': 64, 'lr': 0.0005, 'min_lr': 1e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.03, 'alpha': 0.45, 'temperature': 2.0, 'patience': 10, 'grad_clip': 5.0, 'seed': 42, 'sr': 16000, 'n_mels': 40, 'emb_dim': 192, 'student_channels': [128, 192, 256, 256], 'ecapa_channels': 256, 'redimnet_channels': 48, 'sinc_channels': 80, 'dropout': 0.15, 'time_mask_max': 12, 'freq_mask_max': 8, 'amp': True, 'waveform_aug': True, 'eval_tta_swap': True, 'num_workers': 0, 'benchmark_samples': 100, 'repeat': 1}"
redimnet,1,21,0.6644144144144144,0.7324955116696589,0.6779825123580726,0.608955223880597,0.918918918918919,1.666091083867316,"{'models': ['final_model', 'escapetdnn', 'redimnet', 'sincnet'], 'old_csv': 'dl_model/baseline_train_test_segments.csv', 'old_train_audio_dir': 'datasets/mlp_train/train', 'old_test_audio_dir': 'datasets/mlp_train/test', 'new_test_csv': 'dl_model/baseline_train_test_segments_switchlingua_seame.csv', 'new_test_audio_dir': 'datasets/baseline_switchlingua_seame_testset/test', 'soft_labels_cache': 'dl_model/checkpoints/speechbrain_soft_labels_old_all_eval_new.pt', 'checkpoint_dir': 'dl_model/compare/checkpoints', 'summary_path': 'dl_model/compare/summary.json', 'student_device': 'auto', 'epochs': 60, 'batch_size': 64, 'lr': 0.0005, 'min_lr': 1e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.03, 'alpha': 0.45, 'temperature': 2.0, 'patience': 10, 'grad_clip': 5.0, 'seed': 42, 'sr': 16000, 'n_mels': 40, 'emb_dim': 192, 'student_channels': [128, 192, 256, 256], 'ecapa_channels': 256, 'redimnet_channels': 48, 'sinc_channels': 80, 'dropout': 0.15, 'time_mask_max': 12, 'freq_mask_max': 8, 'amp': True, 'waveform_aug': True, 'eval_tta_swap': True, 'num_workers': 0, 'benchmark_samples': 100, 'repeat': 1}"
sincnet,1,1,0.5698198198198198,0.6779089376053963,0.6936532425450849,0.5417789757412399,0.9054054054054054,1.7311487154435077,"{'models': ['final_model', 'escapetdnn', 'redimnet', 'sincnet'], 'old_csv': 'dl_model/baseline_train_test_segments.csv', 'old_train_audio_dir': 'datasets/mlp_train/train', 'old_test_audio_dir': 'datasets/mlp_train/test', 'new_test_csv': 'dl_model/baseline_train_test_segments_switchlingua_seame.csv', 'new_test_audio_dir': 'datasets/baseline_switchlingua_seame_testset/test', 'soft_labels_cache': 'dl_model/checkpoints/speechbrain_soft_labels_old_all_eval_new.pt', 'checkpoint_dir': 'dl_model/compare/checkpoints', 'summary_path': 'dl_model/compare/summary.json', 'student_device': 'auto', 'epochs': 60, 'batch_size': 64, 'lr': 0.0005, 'min_lr': 1e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.03, 'alpha': 0.45, 'temperature': 2.0, 'patience': 10, 'grad_clip': 5.0, 'seed': 42, 'sr': 16000, 'n_mels': 40, 'emb_dim': 192, 'student_channels': [128, 192, 256, 256], 'ecapa_channels': 256, 'redimnet_channels': 48, 'sinc_channels': 80, 'dropout': 0.15, 'time_mask_max': 12, 'freq_mask_max': 8, 'amp': True, 'waveform_aug': True, 'eval_tta_swap': True, 'num_workers': 0, 'benchmark_samples': 100, 'repeat': 1}"
