model,run,best_acc_epoch,best_f1_epoch,best_acc,best_f1,best_acc_f1,best_f1_acc,student_ms,best_acc_checkpoint,best_f1_checkpoint,final_checkpoint,best_acc_record,best_f1_record
final_model,1,16,7,0.6981981981981982,0.7012987012987014,0.6747572815533981,0.6891891891891891,2.560352999716997,dl_model\compare\checkpoints\final_model_best_acc.pth,dl_model\compare\checkpoints\final_model_best_f1.pth,dl_model\compare\checkpoints\final_model_final.pth,dl_model\compare\checkpoints\final_model_best_acc_record.json,dl_model\compare\checkpoints\final_model_best_f1_record.json
escapetdnn,1,2,4,0.6666666666666666,0.6913123844731978,0.6711111111111111,0.6238738738738738,7.929115999722853,dl_model\compare\checkpoints\escapetdnn_best_acc.pth,dl_model\compare\checkpoints\escapetdnn_best_f1.pth,dl_model\compare\checkpoints\escapetdnn_final.pth,dl_model\compare\checkpoints\escapetdnn_best_acc_record.json,dl_model\compare\checkpoints\escapetdnn_best_f1_record.json
redimnet,1,16,21,0.6801801801801802,0.7324955116696589,0.7300380228136882,0.6644144144144144,3.5398560005705804,dl_model\compare\checkpoints\redimnet_best_acc.pth,dl_model\compare\checkpoints\redimnet_best_f1.pth,dl_model\compare\checkpoints\redimnet_final.pth,dl_model\compare\checkpoints\redimnet_best_acc_record.json,dl_model\compare\checkpoints\redimnet_best_f1_record.json
sincnet,1,9,1,0.6666666666666666,0.6779089376053963,0.6145833333333334,0.5698198198198198,2.991040999768302,dl_model\compare\checkpoints\sincnet_best_acc.pth,dl_model\compare\checkpoints\sincnet_best_f1.pth,dl_model\compare\checkpoints\sincnet_final.pth,dl_model\compare\checkpoints\sincnet_best_acc_record.json,dl_model\compare\checkpoints\sincnet_best_f1_record.json
