model,run,best_acc,best_acc_f1,best_acc_epoch,best_f1,best_f1_acc,best_f1_epoch,student_ms,best_acc_checkpoint,best_f1_checkpoint,final_checkpoint,best_acc_record,best_f1_record
final_model,1,0.6846846846846847,0.6943231441048036,6,0.6943231441048036,0.6846846846846847,6,2.598028000211343,dl_model\compare\checkpoints_new_csv\final_model_best_acc.pth,dl_model\compare\checkpoints_new_csv\final_model_best_f1.pth,dl_model\compare\checkpoints_new_csv\final_model_final.pth,dl_model\compare\checkpoints_new_csv\final_model_best_acc_record.json,dl_model\compare\checkpoints_new_csv\final_model_best_f1_record.json
escapetdnn,1,0.6756756756756757,0.663551401869159,4,0.6982248520710059,0.6554054054054054,3,7.645296999253333,dl_model\compare\checkpoints_new_csv\escapetdnn_best_acc.pth,dl_model\compare\checkpoints_new_csv\escapetdnn_best_f1.pth,dl_model\compare\checkpoints_new_csv\escapetdnn_final.pth,dl_model\compare\checkpoints_new_csv\escapetdnn_best_acc_record.json,dl_model\compare\checkpoints_new_csv\escapetdnn_best_f1_record.json
ecapatdnn,1,0.6756756756756757,0.663551401869159,4,0.6982248520710059,0.6554054054054054,3,9.378028999781236,dl_model\compare\checkpoints_new_csv\ecapatdnn_best_acc.pth,dl_model\compare\checkpoints_new_csv\ecapatdnn_best_f1.pth,dl_model\compare\checkpoints_new_csv\ecapatdnn_final.pth,dl_model\compare\checkpoints_new_csv\ecapatdnn_best_acc_record.json,dl_model\compare\checkpoints_new_csv\ecapatdnn_best_f1_record.json
redimnet,1,0.6756756756756757,0.7176470588235293,19,0.7362831858407081,0.6644144144144144,17,3.5172929998952895,dl_model\compare\checkpoints_new_csv\redimnet_best_acc.pth,dl_model\compare\checkpoints_new_csv\redimnet_best_f1.pth,dl_model\compare\checkpoints_new_csv\redimnet_final.pth,dl_model\compare\checkpoints_new_csv\redimnet_best_acc_record.json,dl_model\compare\checkpoints_new_csv\redimnet_best_f1_record.json
sincnet,1,0.6599099099099099,0.6873706004140787,3,0.6873706004140787,0.6599099099099099,3,3.408441999927163,dl_model\compare\checkpoints_new_csv\sincnet_best_acc.pth,dl_model\compare\checkpoints_new_csv\sincnet_best_f1.pth,dl_model\compare\checkpoints_new_csv\sincnet_final.pth,dl_model\compare\checkpoints_new_csv\sincnet_best_acc_record.json,dl_model\compare\checkpoints_new_csv\sincnet_best_f1_record.json
