model,sample_count,positives,negatives,accuracy,positive_accuracy,negative_accuracy,precision,recall,specificity,f1,balanced_accuracy,tp,tn,fp,fn,init_time_s,inference_time_s,total_model_time_s,avg_inference_ms,dataset_available_rows,dataset_missing_rows
speechbrain_ecapa,444,222,222,0.788288,0.680180,0.896396,0.867816,0.680180,0.896396,0.762626,0.788288,151,199,23,71,0.419845,21.178789,21.598633,47.699975,444,0
speechbrain_xvector,444,222,222,0.500000,1.000000,0.000000,0.500000,1.000000,0.000000,0.666667,0.500000,222,0,222,0,0.283647,3.249528,3.533175,7.318757,444,0
resemblyzer_ge2e,444,222,222,0.619369,0.972973,0.265766,0.569921,0.972973,0.265766,0.718802,0.619369,216,59,163,6,0.014090,4.947783,4.961873,11.143655,444,0
wespeaker_english,444,222,222,0.610360,0.225225,0.995495,0.980392,0.225225,0.995495,0.366300,0.610360,50,221,1,172,0.275611,54.066534,54.342146,121.771474,444,0
distilled_mel_tdnn,444,222,222,0.716216,0.680180,0.752252,0.733010,0.680180,0.752252,0.705607,0.716216,151,167,55,71,0.008847,2.284255,2.293102,5.144718,444,0
