model,run,select_metric,best_epoch,epochs_trained,train_samples,val_samples,test_samples,train_acc_at_best,train_f1_at_best,train_precision_at_best,train_recall_at_best,train_loss_at_best,train_err_at_best,val_acc_at_best,val_f1_at_best,val_precision_at_best,val_recall_at_best,val_loss_at_best,val_err_at_best,test_acc,test_f1,test_precision,test_recall,test_loss,test_err,test_sample_count,test_time_seconds,train_time_seconds,total_time_seconds,student_ms,best_checkpoint,test_eer,test_eer_threshold
tdnn,1,f1,13,23,8946,696,444,0.9874804381846636,0.9875361673714667,0.9831597606913361,0.9919517102615694,0.334619151181405,0.012519561815336422,0.8620689655172413,0.87467362924282,0.8014354066985646,0.9626436781609196,0.4653332384153344,0.13793103448275867,0.6779279279279279,0.5878962536023055,0.816,0.4594594594594595,0.6080074423068279,0.3220720720720721,444,0.41517530009150505,417.75594249996357,418.1711178000551,2.180421999655664,dl_model\compare\output\checkpoints_manifest\tdnn_best_val_f1.pth,0.3333333333333333,-0.38052746653556824
final_model,1,f1,19,29,8946,696,444,0.9710485133020345,0.971697082286089,0.950406156477127,0.993963782696177,0.3313505290579588,0.028951486697965545,0.8721264367816092,0.886624203821656,0.7963386727688787,1.0,0.43931742372183963,0.12787356321839083,0.75,0.7245657568238214,0.8066298342541437,0.6576576576576577,0.549146457298382,0.25,444,0.8256962000159547,2083.045395400026,2083.871091600042,2.3004489997401834,dl_model\compare\output\checkpoints_manifest\final_model_best_val_f1.pth,0.23423423423423423,-0.27420365810394287
ecapatdnn,1,f1,5,15,8946,696,444,0.971495640509725,0.9721767594108021,0.9494884910485933,0.9959758551307847,0.34129359396064196,0.028504359490274966,0.8232758620689655,0.8490797546012271,0.7408993576017131,0.9942528735632183,0.4747812158759983,0.17672413793103448,0.6756756756756757,0.6453201970443351,0.7119565217391305,0.5900900900900901,0.6318378459225904,0.32432432432432434,444,0.26311919989529997,349.07084589998703,349.33396509988233,7.207067999988794,dl_model\compare\output\checkpoints_manifest\ecapatdnn_best_val_f1.pth,0.32432432432432434,-0.19710136950016022
redimnet,1,f1,17,27,8946,696,444,0.954728370221328,0.9560499186109604,0.9289329396878954,0.98479767493852,0.36701444648214565,0.04527162977867205,0.7025862068965517,0.7687150837988828,0.6288848263254113,0.9885057471264368,0.6471797008624022,0.2974137931034483,0.6666666666666666,0.6354679802955665,0.7010869565217391,0.581081081081081,0.6427915235897442,0.33333333333333337,444,0.40598260005936027,660.6954634999856,661.101446100045,3.3772279997356236,dl_model\compare\output\checkpoints_manifest\redimnet_best_val_f1.pth,0.32432432432432434,-0.1386670619249344
sincnet,1,f1,19,29,8946,696,444,0.9722781131231836,0.9728724567928244,0.9524523452559435,0.9941873463000224,0.33075985438387157,0.027721886876816426,0.8649425287356322,0.8810126582278481,0.7873303167420814,1.0,0.4550653997508959,0.13505747126436785,0.7522522522522522,0.7236180904522613,0.8181818181818182,0.6486486486486487,0.5555334783889152,0.24774774774774777,444,0.82151340006385,2078.7117816000246,2079.5332950000884,2.321735000004992,dl_model\compare\output\checkpoints_manifest\sincnet_best_val_f1.pth,0.21621621621621623,-0.2682143449783325
