model,run,select_metric,best_epoch,epochs_trained,train_samples,val_samples,test_samples,train_half_duration_mode,train_half_duration_min,train_half_duration_max,val_half_duration_mode,val_half_duration_min,val_half_duration_max,primary_test_half_duration,test_half_durations,train_acc_at_best,train_f1_at_best,train_precision_at_best,train_recall_at_best,train_loss_at_best,train_err_at_best,val_acc_at_best,val_f1_at_best,val_precision_at_best,val_recall_at_best,val_loss_at_best,val_err_at_best,test_acc,test_f1,test_precision,test_recall,test_loss,test_err,test_sample_count,test_time_seconds,test_time_total_seconds,train_time_seconds,total_time_seconds,student_ms,best_checkpoint,test_1p0_acc,test_1p0_f1,test_1p0_precision,test_1p0_recall,test_1p0_loss,test_1p0_err,test_1p0_time_seconds,test_1p0_sample_count,test_1p5_acc,test_1p5_f1,test_1p5_precision,test_1p5_recall,test_1p5_loss,test_1p5_err,test_1p5_time_seconds,test_1p5_sample_count,test_2p0_acc,test_2p0_f1,test_2p0_precision,test_2p0_recall,test_2p0_loss,test_2p0_err,test_2p0_time_seconds,test_2p0_sample_count
tdnn,1,f1,18,28,8946,696,444,random_uniform,1.0,2.0,random_uniform,1.0,2.0,1.5,"1.00,1.50,2.00",0.9706013860943439,0.971215935208493,0.9513293310463122,0.9919517102615694,0.3265353835071463,0.029398613905656124,0.8663793103448276,0.8815286624203821,0.7917620137299771,0.9942528735632183,0.41818610553083746,0.13362068965517238,0.6328828828828829,0.4758842443729904,0.8314606741573034,0.3333333333333333,0.6301630617262007,0.36711711711711714,444,0.20348199998261407,0.6112469999934547,364.0124289999949,364.62367599998834,2.3761389998253435,dl_model\compare\output\checkpoints_manifest_1to2s\tdnn_best_val_f1.pth,0.6013513513513513,0.4809384164222874,0.6890756302521008,0.36936936936936937,0.6532367301416827,0.3986486486486487,0.1959511999739334,444,0.6328828828828829,0.4758842443729904,0.8314606741573034,0.3333333333333333,0.6301630617262007,0.36711711711711714,0.20348199998261407,444,0.6396396396396397,0.49044585987261147,0.8369565217391305,0.34684684684684686,0.618611555915695,0.36036036036036034,0.2118138000369072,444
final_model,1,f1,15,25,8946,696,444,random_uniform,1.0,2.0,random_uniform,1.0,2.0,1.5,"1.00,1.50,2.00",0.9560697518443997,0.9573891358560123,0.9294736842105263,0.987033310976973,0.34262501497863523,0.043930248155600315,0.8491379310344828,0.8675914249684742,0.7730337078651686,0.9885057471264368,0.4814909463641287,0.15086206896551724,0.6914414414414415,0.6513994910941476,0.7485380116959064,0.5765765765765766,0.6014703136306625,0.3085585585585585,444,0.7323478999896906,2.2386231999844313,1754.4690368000302,1756.7076600000146,2.1897760004503652,dl_model\compare\output\checkpoints_manifest_1to2s\final_model_best_val_f1.pth,0.6869369369369369,0.638961038961039,0.754601226993865,0.5540540540540541,0.6025959156654976,0.3130630630630631,0.5941769999917597,444,0.6914414414414415,0.6513994910941476,0.7485380116959064,0.5765765765765766,0.6014703136306625,0.3085585585585585,0.7323478999896906,444,0.7004504504504504,0.6666666666666666,0.751412429378531,0.5990990990990991,0.6065162581366461,0.2995495495495496,0.912098300002981,444
ecapatdnn,1,f1,4,14,8946,696,444,random_uniform,1.0,2.0,random_uniform,1.0,2.0,1.5,"1.00,1.50,2.00",0.9567404426559356,0.9581214154312304,0.928481543624161,0.9897160742231165,0.33931649829247057,0.04325955734406439,0.7758620689655172,0.8160377358490566,0.692,0.9942528735632183,0.5496759962761539,0.22413793103448276,0.5743243243243243,0.595289079229122,0.5673469387755102,0.6261261261261262,0.7516333552094193,0.42567567567567566,444,0.29938989999936894,0.9179664999828674,267.3768554000417,268.29482190002454,6.952648000442423,dl_model\compare\output\checkpoints_manifest_1to2s\ecapatdnn_best_val_f1.pth,0.5630630630630631,0.6196078431372549,0.5486111111111112,0.7117117117117117,0.7650113363523741,0.4369369369369369,0.302924899966456,444,0.5743243243243243,0.595289079229122,0.5673469387755102,0.6261261261261262,0.7516333552094193,0.42567567567567566,0.29938989999936894,444,0.581081081081081,0.5938864628820961,0.576271186440678,0.6126126126126126,0.712677848231685,0.41891891891891897,0.31565170001704246,444
redimnet,1,f1,23,33,8946,696,444,random_uniform,1.0,2.0,random_uniform,1.0,2.0,1.5,"1.00,1.50,2.00",0.7690587972278113,0.8104934874334985,0.6871986312023642,0.9877040017885088,0.542324386625356,0.23094120277218866,0.5373563218390804,0.6830708661417324,0.5194610778443114,0.9971264367816092,0.9569387901788471,0.46264367816091956,0.5990990990990991,0.6691449814126395,0.569620253164557,0.8108108108108109,0.7472063308363562,0.4009009009009009,444,0.37378560000797734,1.132474300044123,713.4016847999883,714.5341591000324,3.1730250001419336,dl_model\compare\output\checkpoints_manifest_1to2s\redimnet_best_val_f1.pth,0.5698198198198198,0.6361904761904762,0.5511551155115512,0.7522522522522522,0.78209100865029,0.4301801801801802,0.3089155000052415,444,0.5990990990990991,0.6691449814126395,0.569620253164557,0.8108108108108109,0.7472063308363562,0.4009009009009009,0.37378560000797734,444,0.6283783783783784,0.7027027027027029,0.5855855855855856,0.8783783783783784,0.742442656207729,0.3716216216216216,0.44977320003090426,444
sincnet,1,f1,7,17,8946,696,444,random_uniform,1.0,2.0,random_uniform,1.0,2.0,1.5,"1.00,1.50,2.00",0.9289067739771966,0.9326556543837358,0.8859384429692215,0.9845741113346748,0.3749360948994259,0.07109322602280344,0.8390804597701149,0.8603491271820448,0.7599118942731278,0.9913793103448276,0.50186803286103,0.16091954022988508,0.7207207207207207,0.691542288557214,0.7722222222222223,0.6261261261261262,0.6004208879427867,0.2792792792792793,444,0.723612800007686,2.1934970000293106,1193.239733800001,1195.4332308000303,2.3629760002950206,dl_model\compare\output\checkpoints_manifest_1to2s\sincnet_best_val_f1.pth,0.713963963963964,0.6751918158567775,0.7810650887573964,0.5945945945945946,0.6003322520771542,0.286036036036036,0.5609925999888219,444,0.7207207207207207,0.691542288557214,0.7722222222222223,0.6261261261261262,0.6004208879427867,0.2792792792792793,0.723612800007686,444,0.740990990990991,0.7268408551068883,0.7688442211055276,0.6891891891891891,0.5981594356330665,0.25900900900900903,0.9088916000328027,444
