model,run,epoch,test_acc,test_f1,test_loss,test_precision,test_recall,train_loss,args
final_model,1,7,0.6576576576576577,0.663716814159292,0.6492974725929467,0.6521739130434783,0.6756756756756757,1.6687464840375361,"{'models': ['final_model', 'escapetdnn', 'ecapatdnn', 'redimnet', 'sincnet', 'sincnet_tdnn'], 'old_csv': 'dl_model/baseline_train_test_segments.csv', 'old_train_audio_dir': 'datasets/mlp_train/train', 'old_test_audio_dir': 'datasets/mlp_train/test', 'new_test_csv': 'dl_model/baseline_train_test_segments_switchlingua_seame.csv', 'new_test_audio_dir': 'datasets/baseline_switchlingua_seame_testset/test', 'soft_labels_cache': 'dl_model/checkpoints/speechbrain_soft_labels_old_all_eval_new.pt', 'checkpoint_dir': 'dl_model/compare/output/checkpoints_random_duration', 'summary_path': 'dl_model/compare/output/summary_random_duration.json', 'duration_manifest_path': 'dl_model/compare/output/random_duration_manifest.json', 'student_device': 'cuda', 'epochs': 60, 'batch_size': 64, 'lr': 0.0005, 'min_lr': 1e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.03, 'alpha': 0.45, 'temperature': 2.0, 'patience': 10, 'grad_clip': 5.0, 'seed': 42, 'sr': 16000, 'n_mels': 40, 'emb_dim': 192, 'student_channels': [128, 192, 256, 256], 'ecapa_channels': 256, 'redimnet_channels': 48, 'sinc_channels': 80, 'dropout': 0.15, 'time_mask_max': 12, 'freq_mask_max': 8, 'amp': True, 'waveform_aug': True, 'eval_tta_swap': True, 'num_workers': 0, 'benchmark_samples': 100, 'repeat': 1, 'min_half_duration': 1.0, 'max_half_duration': 2.0}"
escapetdnn,1,5,0.6418918918918919,0.6888454011741684,0.6991593687383978,0.6089965397923875,0.7927927927927928,1.6704225519106954,"{'models': ['final_model', 'escapetdnn', 'ecapatdnn', 'redimnet', 'sincnet', 'sincnet_tdnn'], 'old_csv': 'dl_model/baseline_train_test_segments.csv', 'old_train_audio_dir': 'datasets/mlp_train/train', 'old_test_audio_dir': 'datasets/mlp_train/test', 'new_test_csv': 'dl_model/baseline_train_test_segments_switchlingua_seame.csv', 'new_test_audio_dir': 'datasets/baseline_switchlingua_seame_testset/test', 'soft_labels_cache': 'dl_model/checkpoints/speechbrain_soft_labels_old_all_eval_new.pt', 'checkpoint_dir': 'dl_model/compare/output/checkpoints_random_duration', 'summary_path': 'dl_model/compare/output/summary_random_duration.json', 'duration_manifest_path': 'dl_model/compare/output/random_duration_manifest.json', 'student_device': 'cuda', 'epochs': 60, 'batch_size': 64, 'lr': 0.0005, 'min_lr': 1e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.03, 'alpha': 0.45, 'temperature': 2.0, 'patience': 10, 'grad_clip': 5.0, 'seed': 42, 'sr': 16000, 'n_mels': 40, 'emb_dim': 192, 'student_channels': [128, 192, 256, 256], 'ecapa_channels': 256, 'redimnet_channels': 48, 'sinc_channels': 80, 'dropout': 0.15, 'time_mask_max': 12, 'freq_mask_max': 8, 'amp': True, 'waveform_aug': True, 'eval_tta_swap': True, 'num_workers': 0, 'benchmark_samples': 100, 'repeat': 1, 'min_half_duration': 1.0, 'max_half_duration': 2.0}"
ecapatdnn,1,5,0.6418918918918919,0.6888454011741684,0.6991593687383978,0.6089965397923875,0.7927927927927928,1.6704225519106954,"{'models': ['final_model', 'escapetdnn', 'ecapatdnn', 'redimnet', 'sincnet', 'sincnet_tdnn'], 'old_csv': 'dl_model/baseline_train_test_segments.csv', 'old_train_audio_dir': 'datasets/mlp_train/train', 'old_test_audio_dir': 'datasets/mlp_train/test', 'new_test_csv': 'dl_model/baseline_train_test_segments_switchlingua_seame.csv', 'new_test_audio_dir': 'datasets/baseline_switchlingua_seame_testset/test', 'soft_labels_cache': 'dl_model/checkpoints/speechbrain_soft_labels_old_all_eval_new.pt', 'checkpoint_dir': 'dl_model/compare/output/checkpoints_random_duration', 'summary_path': 'dl_model/compare/output/summary_random_duration.json', 'duration_manifest_path': 'dl_model/compare/output/random_duration_manifest.json', 'student_device': 'cuda', 'epochs': 60, 'batch_size': 64, 'lr': 0.0005, 'min_lr': 1e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.03, 'alpha': 0.45, 'temperature': 2.0, 'patience': 10, 'grad_clip': 5.0, 'seed': 42, 'sr': 16000, 'n_mels': 40, 'emb_dim': 192, 'student_channels': [128, 192, 256, 256], 'ecapa_channels': 256, 'redimnet_channels': 48, 'sinc_channels': 80, 'dropout': 0.15, 'time_mask_max': 12, 'freq_mask_max': 8, 'amp': True, 'waveform_aug': True, 'eval_tta_swap': True, 'num_workers': 0, 'benchmark_samples': 100, 'repeat': 1, 'min_half_duration': 1.0, 'max_half_duration': 2.0}"
redimnet,1,28,0.6801801801801802,0.7330827067669172,0.6711558023014584,0.6290322580645161,0.8783783783783784,1.6604751213109123,"{'models': ['final_model', 'escapetdnn', 'ecapatdnn', 'redimnet', 'sincnet', 'sincnet_tdnn'], 'old_csv': 'dl_model/baseline_train_test_segments.csv', 'old_train_audio_dir': 'datasets/mlp_train/train', 'old_test_audio_dir': 'datasets/mlp_train/test', 'new_test_csv': 'dl_model/baseline_train_test_segments_switchlingua_seame.csv', 'new_test_audio_dir': 'datasets/baseline_switchlingua_seame_testset/test', 'soft_labels_cache': 'dl_model/checkpoints/speechbrain_soft_labels_old_all_eval_new.pt', 'checkpoint_dir': 'dl_model/compare/output/checkpoints_random_duration', 'summary_path': 'dl_model/compare/output/summary_random_duration.json', 'duration_manifest_path': 'dl_model/compare/output/random_duration_manifest.json', 'student_device': 'cuda', 'epochs': 60, 'batch_size': 64, 'lr': 0.0005, 'min_lr': 1e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.03, 'alpha': 0.45, 'temperature': 2.0, 'patience': 10, 'grad_clip': 5.0, 'seed': 42, 'sr': 16000, 'n_mels': 40, 'emb_dim': 192, 'student_channels': [128, 192, 256, 256], 'ecapa_channels': 256, 'redimnet_channels': 48, 'sinc_channels': 80, 'dropout': 0.15, 'time_mask_max': 12, 'freq_mask_max': 8, 'amp': True, 'waveform_aug': True, 'eval_tta_swap': True, 'num_workers': 0, 'benchmark_samples': 100, 'repeat': 1, 'min_half_duration': 1.0, 'max_half_duration': 2.0}"
sincnet,1,1,0.6734234234234234,0.740608228980322,0.6332161904455306,0.6142433234421365,0.9324324324324325,1.72115805603209,"{'models': ['final_model', 'escapetdnn', 'ecapatdnn', 'redimnet', 'sincnet', 'sincnet_tdnn'], 'old_csv': 'dl_model/baseline_train_test_segments.csv', 'old_train_audio_dir': 'datasets/mlp_train/train', 'old_test_audio_dir': 'datasets/mlp_train/test', 'new_test_csv': 'dl_model/baseline_train_test_segments_switchlingua_seame.csv', 'new_test_audio_dir': 'datasets/baseline_switchlingua_seame_testset/test', 'soft_labels_cache': 'dl_model/checkpoints/speechbrain_soft_labels_old_all_eval_new.pt', 'checkpoint_dir': 'dl_model/compare/output/checkpoints_random_duration', 'summary_path': 'dl_model/compare/output/summary_random_duration.json', 'duration_manifest_path': 'dl_model/compare/output/random_duration_manifest.json', 'student_device': 'cuda', 'epochs': 60, 'batch_size': 64, 'lr': 0.0005, 'min_lr': 1e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.03, 'alpha': 0.45, 'temperature': 2.0, 'patience': 10, 'grad_clip': 5.0, 'seed': 42, 'sr': 16000, 'n_mels': 40, 'emb_dim': 192, 'student_channels': [128, 192, 256, 256], 'ecapa_channels': 256, 'redimnet_channels': 48, 'sinc_channels': 80, 'dropout': 0.15, 'time_mask_max': 12, 'freq_mask_max': 8, 'amp': True, 'waveform_aug': True, 'eval_tta_swap': True, 'num_workers': 0, 'benchmark_samples': 100, 'repeat': 1, 'min_half_duration': 1.0, 'max_half_duration': 2.0}"
sincnet_tdnn,1,1,0.5698198198198198,0.6779089376053963,0.6936532425450849,0.5417789757412399,0.9054054054054054,1.7311487154435077,"{'models': ['final_model', 'escapetdnn', 'ecapatdnn', 'redimnet', 'sincnet', 'sincnet_tdnn'], 'old_csv': 'dl_model/baseline_train_test_segments.csv', 'old_train_audio_dir': 'datasets/mlp_train/train', 'old_test_audio_dir': 'datasets/mlp_train/test', 'new_test_csv': 'dl_model/baseline_train_test_segments_switchlingua_seame.csv', 'new_test_audio_dir': 'datasets/baseline_switchlingua_seame_testset/test', 'soft_labels_cache': 'dl_model/checkpoints/speechbrain_soft_labels_old_all_eval_new.pt', 'checkpoint_dir': 'dl_model/compare/output/checkpoints_random_duration', 'summary_path': 'dl_model/compare/output/summary_random_duration.json', 'duration_manifest_path': 'dl_model/compare/output/random_duration_manifest.json', 'student_device': 'cuda', 'epochs': 60, 'batch_size': 64, 'lr': 0.0005, 'min_lr': 1e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.03, 'alpha': 0.45, 'temperature': 2.0, 'patience': 10, 'grad_clip': 5.0, 'seed': 42, 'sr': 16000, 'n_mels': 40, 'emb_dim': 192, 'student_channels': [128, 192, 256, 256], 'ecapa_channels': 256, 'redimnet_channels': 48, 'sinc_channels': 80, 'dropout': 0.15, 'time_mask_max': 12, 'freq_mask_max': 8, 'amp': True, 'waveform_aug': True, 'eval_tta_swap': True, 'num_workers': 0, 'benchmark_samples': 100, 'repeat': 1, 'min_half_duration': 1.0, 'max_half_duration': 2.0}"

