model,runs,test_acc_mean,test_acc_std,test_f1_mean,test_f1_std,test_err_mean,test_err_std,test_loss_mean,test_loss_std,val_acc_mean,val_acc_std,val_f1_mean,val_f1_std,val_err_mean,val_err_std,val_loss_mean,val_loss_std,train_time_seconds_mean,train_time_seconds_std,test_time_seconds_mean,test_time_seconds_std,total_time_seconds_mean,total_time_seconds_std,student_ms_mean,student_ms_std,test_eer_mean,test_eer_std
tdnn,1,0.6779279279279279,0.0,0.5878962536023055,0.0,0.3220720720720721,0.0,0.6080074423068279,0.0,0.8620689655172413,0.0,0.87467362924282,0.0,0.13793103448275867,0.0,0.4653332384153344,0.0,417.75594249996357,0.0,0.41517530009150505,0.0,418.1711178000551,0.0,2.180421999655664,0.0,0.3333333333333333,0.0
final_model,1,0.75,0.0,0.7245657568238214,0.0,0.25,0.0,0.549146457298382,0.0,0.8721264367816092,0.0,0.886624203821656,0.0,0.12787356321839083,0.0,0.43931742372183963,0.0,2083.045395400026,0.0,0.8256962000159547,0.0,2083.871091600042,0.0,2.3004489997401834,0.0,0.23423423423423423,0.0
ecapatdnn,1,0.6756756756756757,0.0,0.6453201970443351,0.0,0.32432432432432434,0.0,0.6318378459225904,0.0,0.8232758620689655,0.0,0.8490797546012271,0.0,0.17672413793103448,0.0,0.4747812158759983,0.0,349.07084589998703,0.0,0.26311919989529997,0.0,349.33396509988233,0.0,7.207067999988794,0.0,0.32432432432432434,0.0
redimnet,1,0.6666666666666666,0.0,0.6354679802955665,0.0,0.33333333333333337,0.0,0.6427915235897442,0.0,0.7025862068965517,0.0,0.7687150837988828,0.0,0.2974137931034483,0.0,0.6471797008624022,0.0,660.6954634999856,0.0,0.40598260005936027,0.0,661.101446100045,0.0,3.3772279997356236,0.0,0.32432432432432434,0.0
sincnet,1,0.7522522522522522,0.0,0.7236180904522613,0.0,0.24774774774774777,0.0,0.5555334783889152,0.0,0.8649425287356322,0.0,0.8810126582278481,0.0,0.13505747126436785,0.0,0.4550653997508959,0.0,2078.7117816000246,0.0,0.82151340006385,0.0,2079.5332950000884,0.0,2.321735000004992,0.0,0.21621621621621623,0.0
