model,runs,test_acc_mean,test_acc_std,test_f1_mean,test_f1_std,test_err_mean,test_err_std,test_loss_mean,test_loss_std,val_acc_mean,val_acc_std,val_f1_mean,val_f1_std,val_err_mean,val_err_std,val_loss_mean,val_loss_std,train_time_seconds_mean,train_time_seconds_std,test_time_seconds_mean,test_time_seconds_std,test_time_total_seconds_mean,test_time_total_seconds_std,total_time_seconds_mean,total_time_seconds_std,student_ms_mean,student_ms_std,test_1p0_acc_mean,test_1p0_acc_std,test_1p0_err_mean,test_1p0_err_std,test_1p0_f1_mean,test_1p0_f1_std,test_1p0_loss_mean,test_1p0_loss_std,test_1p0_time_seconds_mean,test_1p0_time_seconds_std,test_1p5_acc_mean,test_1p5_acc_std,test_1p5_err_mean,test_1p5_err_std,test_1p5_f1_mean,test_1p5_f1_std,test_1p5_loss_mean,test_1p5_loss_std,test_1p5_time_seconds_mean,test_1p5_time_seconds_std,test_2p0_acc_mean,test_2p0_acc_std,test_2p0_err_mean,test_2p0_err_std,test_2p0_f1_mean,test_2p0_f1_std,test_2p0_loss_mean,test_2p0_loss_std,test_2p0_time_seconds_mean,test_2p0_time_seconds_std
tdnn,1,0.6328828828828829,0.0,0.4758842443729904,0.0,0.36711711711711714,0.0,0.6301630617262007,0.0,0.8663793103448276,0.0,0.8815286624203821,0.0,0.13362068965517238,0.0,0.41818610553083746,0.0,364.0124289999949,0.0,0.20348199998261407,0.0,0.6112469999934547,0.0,364.62367599998834,0.0,2.3761389998253435,0.0,0.6013513513513513,0.0,0.3986486486486487,0.0,0.4809384164222874,0.0,0.6532367301416827,0.0,0.1959511999739334,0.0,0.6328828828828829,0.0,0.36711711711711714,0.0,0.4758842443729904,0.0,0.6301630617262007,0.0,0.20348199998261407,0.0,0.6396396396396397,0.0,0.36036036036036034,0.0,0.49044585987261147,0.0,0.618611555915695,0.0,0.2118138000369072,0.0
final_model,1,0.6914414414414415,0.0,0.6513994910941476,0.0,0.3085585585585585,0.0,0.6014703136306625,0.0,0.8491379310344828,0.0,0.8675914249684742,0.0,0.15086206896551724,0.0,0.4814909463641287,0.0,1754.4690368000302,0.0,0.7323478999896906,0.0,2.2386231999844313,0.0,1756.7076600000146,0.0,2.1897760004503652,0.0,0.6869369369369369,0.0,0.3130630630630631,0.0,0.638961038961039,0.0,0.6025959156654976,0.0,0.5941769999917597,0.0,0.6914414414414415,0.0,0.3085585585585585,0.0,0.6513994910941476,0.0,0.6014703136306625,0.0,0.7323478999896906,0.0,0.7004504504504504,0.0,0.2995495495495496,0.0,0.6666666666666666,0.0,0.6065162581366461,0.0,0.912098300002981,0.0
ecapatdnn,1,0.5743243243243243,0.0,0.595289079229122,0.0,0.42567567567567566,0.0,0.7516333552094193,0.0,0.7758620689655172,0.0,0.8160377358490566,0.0,0.22413793103448276,0.0,0.5496759962761539,0.0,267.3768554000417,0.0,0.29938989999936894,0.0,0.9179664999828674,0.0,268.29482190002454,0.0,6.952648000442423,0.0,0.5630630630630631,0.0,0.4369369369369369,0.0,0.6196078431372549,0.0,0.7650113363523741,0.0,0.302924899966456,0.0,0.5743243243243243,0.0,0.42567567567567566,0.0,0.595289079229122,0.0,0.7516333552094193,0.0,0.29938989999936894,0.0,0.581081081081081,0.0,0.41891891891891897,0.0,0.5938864628820961,0.0,0.712677848231685,0.0,0.31565170001704246,0.0
redimnet,1,0.5990990990990991,0.0,0.6691449814126395,0.0,0.4009009009009009,0.0,0.7472063308363562,0.0,0.5373563218390804,0.0,0.6830708661417324,0.0,0.46264367816091956,0.0,0.9569387901788471,0.0,713.4016847999883,0.0,0.37378560000797734,0.0,1.132474300044123,0.0,714.5341591000324,0.0,3.1730250001419336,0.0,0.5698198198198198,0.0,0.4301801801801802,0.0,0.6361904761904762,0.0,0.78209100865029,0.0,0.3089155000052415,0.0,0.5990990990990991,0.0,0.4009009009009009,0.0,0.6691449814126395,0.0,0.7472063308363562,0.0,0.37378560000797734,0.0,0.6283783783783784,0.0,0.3716216216216216,0.0,0.7027027027027029,0.0,0.742442656207729,0.0,0.44977320003090426,0.0
sincnet,1,0.7207207207207207,0.0,0.691542288557214,0.0,0.2792792792792793,0.0,0.6004208879427867,0.0,0.8390804597701149,0.0,0.8603491271820448,0.0,0.16091954022988508,0.0,0.50186803286103,0.0,1193.239733800001,0.0,0.723612800007686,0.0,2.1934970000293106,0.0,1195.4332308000303,0.0,2.3629760002950206,0.0,0.713963963963964,0.0,0.286036036036036,0.0,0.6751918158567775,0.0,0.6003322520771542,0.0,0.5609925999888219,0.0,0.7207207207207207,0.0,0.2792792792792793,0.0,0.691542288557214,0.0,0.6004208879427867,0.0,0.723612800007686,0.0,0.740990990990991,0.0,0.25900900900900903,0.0,0.7268408551068883,0.0,0.5981594356330665,0.0,0.9088916000328027,0.0
