model,run,epoch,test_acc,test_f1,test_loss,test_precision,test_recall,train_loss,args
final_model,1,16,0.6869369369369369,0.6212534059945505,0.6079390102678591,0.7862068965517242,0.5135135135135135,1.6552480418437443,"{'models': ['final_model', 'escapetdnn', 'ecapatdnn', 'redimnet', 'sincnet', 'sincnet_tdnn'], 'old_csv': 'dl_model/baseline_train_test_segments.csv', 'old_train_audio_dir': 'datasets/mlp_train/train', 'old_test_audio_dir': 'datasets/mlp_train/test', 'new_test_csv': 'dl_model/baseline_train_test_segments_switchlingua_seame.csv', 'new_test_audio_dir': 'datasets/baseline_switchlingua_seame_testset/test', 'soft_labels_cache': 'dl_model/checkpoints/speechbrain_soft_labels_old_all_eval_new.pt', 'checkpoint_dir': 'dl_model/compare/output/checkpoints_random_duration', 'summary_path': 'dl_model/compare/output/summary_random_duration.json', 'duration_manifest_path': 'dl_model/compare/output/random_duration_manifest.json', 'student_device': 'cuda', 'epochs': 60, 'batch_size': 64, 'lr': 0.0005, 'min_lr': 1e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.03, 'alpha': 0.45, 'temperature': 2.0, 'patience': 10, 'grad_clip': 5.0, 'seed': 42, 'sr': 16000, 'n_mels': 40, 'emb_dim': 192, 'student_channels': [128, 192, 256, 256], 'ecapa_channels': 256, 'redimnet_channels': 48, 'sinc_channels': 80, 'dropout': 0.15, 'time_mask_max': 12, 'freq_mask_max': 8, 'amp': True, 'waveform_aug': True, 'eval_tta_swap': True, 'num_workers': 0, 'benchmark_samples': 100, 'repeat': 1, 'min_half_duration': 1.0, 'max_half_duration': 2.0}"
escapetdnn,1,12,0.6801801801801802,0.6395939086294417,0.6253665154044693,0.7325581395348837,0.5675675675675675,1.6543045215843348,"{'models': ['final_model', 'escapetdnn', 'ecapatdnn', 'redimnet', 'sincnet', 'sincnet_tdnn'], 'old_csv': 'dl_model/baseline_train_test_segments.csv', 'old_train_audio_dir': 'datasets/mlp_train/train', 'old_test_audio_dir': 'datasets/mlp_train/test', 'new_test_csv': 'dl_model/baseline_train_test_segments_switchlingua_seame.csv', 'new_test_audio_dir': 'datasets/baseline_switchlingua_seame_testset/test', 'soft_labels_cache': 'dl_model/checkpoints/speechbrain_soft_labels_old_all_eval_new.pt', 'checkpoint_dir': 'dl_model/compare/output/checkpoints_random_duration', 'summary_path': 'dl_model/compare/output/summary_random_duration.json', 'duration_manifest_path': 'dl_model/compare/output/random_duration_manifest.json', 'student_device': 'cuda', 'epochs': 60, 'batch_size': 64, 'lr': 0.0005, 'min_lr': 1e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.03, 'alpha': 0.45, 'temperature': 2.0, 'patience': 10, 'grad_clip': 5.0, 'seed': 42, 'sr': 16000, 'n_mels': 40, 'emb_dim': 192, 'student_channels': [128, 192, 256, 256], 'ecapa_channels': 256, 'redimnet_channels': 48, 'sinc_channels': 80, 'dropout': 0.15, 'time_mask_max': 12, 'freq_mask_max': 8, 'amp': True, 'waveform_aug': True, 'eval_tta_swap': True, 'num_workers': 0, 'benchmark_samples': 100, 'repeat': 1, 'min_half_duration': 1.0, 'max_half_duration': 2.0}"
ecapatdnn,1,12,0.6801801801801802,0.6395939086294417,0.6253665154044693,0.7325581395348837,0.5675675675675675,1.6543045215843348,"{'models': ['final_model', 'escapetdnn', 'ecapatdnn', 'redimnet', 'sincnet', 'sincnet_tdnn'], 'old_csv': 'dl_model/baseline_train_test_segments.csv', 'old_train_audio_dir': 'datasets/mlp_train/train', 'old_test_audio_dir': 'datasets/mlp_train/test', 'new_test_csv': 'dl_model/baseline_train_test_segments_switchlingua_seame.csv', 'new_test_audio_dir': 'datasets/baseline_switchlingua_seame_testset/test', 'soft_labels_cache': 'dl_model/checkpoints/speechbrain_soft_labels_old_all_eval_new.pt', 'checkpoint_dir': 'dl_model/compare/output/checkpoints_random_duration', 'summary_path': 'dl_model/compare/output/summary_random_duration.json', 'duration_manifest_path': 'dl_model/compare/output/random_duration_manifest.json', 'student_device': 'cuda', 'epochs': 60, 'batch_size': 64, 'lr': 0.0005, 'min_lr': 1e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.03, 'alpha': 0.45, 'temperature': 2.0, 'patience': 10, 'grad_clip': 5.0, 'seed': 42, 'sr': 16000, 'n_mels': 40, 'emb_dim': 192, 'student_channels': [128, 192, 256, 256], 'ecapa_channels': 256, 'redimnet_channels': 48, 'sinc_channels': 80, 'dropout': 0.15, 'time_mask_max': 12, 'freq_mask_max': 8, 'amp': True, 'waveform_aug': True, 'eval_tta_swap': True, 'num_workers': 0, 'benchmark_samples': 100, 'repeat': 1, 'min_half_duration': 1.0, 'max_half_duration': 2.0}"
redimnet,1,27,0.6936936936936937,0.7081545064377682,0.631914316533922,0.6762295081967213,0.7432432432432432,1.6617363753426455,"{'models': ['final_model', 'escapetdnn', 'ecapatdnn', 'redimnet', 'sincnet', 'sincnet_tdnn'], 'old_csv': 'dl_model/baseline_train_test_segments.csv', 'old_train_audio_dir': 'datasets/mlp_train/train', 'old_test_audio_dir': 'datasets/mlp_train/test', 'new_test_csv': 'dl_model/baseline_train_test_segments_switchlingua_seame.csv', 'new_test_audio_dir': 'datasets/baseline_switchlingua_seame_testset/test', 'soft_labels_cache': 'dl_model/checkpoints/speechbrain_soft_labels_old_all_eval_new.pt', 'checkpoint_dir': 'dl_model/compare/output/checkpoints_random_duration', 'summary_path': 'dl_model/compare/output/summary_random_duration.json', 'duration_manifest_path': 'dl_model/compare/output/random_duration_manifest.json', 'student_device': 'cuda', 'epochs': 60, 'batch_size': 64, 'lr': 0.0005, 'min_lr': 1e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.03, 'alpha': 0.45, 'temperature': 2.0, 'patience': 10, 'grad_clip': 5.0, 'seed': 42, 'sr': 16000, 'n_mels': 40, 'emb_dim': 192, 'student_channels': [128, 192, 256, 256], 'ecapa_channels': 256, 'redimnet_channels': 48, 'sinc_channels': 80, 'dropout': 0.15, 'time_mask_max': 12, 'freq_mask_max': 8, 'amp': True, 'waveform_aug': True, 'eval_tta_swap': True, 'num_workers': 0, 'benchmark_samples': 100, 'repeat': 1, 'min_half_duration': 1.0, 'max_half_duration': 2.0}"
sincnet,1,7,0.7364864864864865,0.7394209354120268,0.5894119460303504,0.7312775330396476,0.7477477477477478,1.6771856052561571,"{'models': ['final_model', 'escapetdnn', 'ecapatdnn', 'redimnet', 'sincnet', 'sincnet_tdnn'], 'old_csv': 'dl_model/baseline_train_test_segments.csv', 'old_train_audio_dir': 'datasets/mlp_train/train', 'old_test_audio_dir': 'datasets/mlp_train/test', 'new_test_csv': 'dl_model/baseline_train_test_segments_switchlingua_seame.csv', 'new_test_audio_dir': 'datasets/baseline_switchlingua_seame_testset/test', 'soft_labels_cache': 'dl_model/checkpoints/speechbrain_soft_labels_old_all_eval_new.pt', 'checkpoint_dir': 'dl_model/compare/output/checkpoints_random_duration', 'summary_path': 'dl_model/compare/output/summary_random_duration.json', 'duration_manifest_path': 'dl_model/compare/output/random_duration_manifest.json', 'student_device': 'cuda', 'epochs': 60, 'batch_size': 64, 'lr': 0.0005, 'min_lr': 1e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.03, 'alpha': 0.45, 'temperature': 2.0, 'patience': 10, 'grad_clip': 5.0, 'seed': 42, 'sr': 16000, 'n_mels': 40, 'emb_dim': 192, 'student_channels': [128, 192, 256, 256], 'ecapa_channels': 256, 'redimnet_channels': 48, 'sinc_channels': 80, 'dropout': 0.15, 'time_mask_max': 12, 'freq_mask_max': 8, 'amp': True, 'waveform_aug': True, 'eval_tta_swap': True, 'num_workers': 0, 'benchmark_samples': 100, 'repeat': 1, 'min_half_duration': 1.0, 'max_half_duration': 2.0}"
sincnet_tdnn,1,3,0.6531531531531531,0.6577777777777777,0.6552234909555934,0.6491228070175439,0.6666666666666666,1.6913421489556524,"{'models': ['final_model', 'escapetdnn', 'ecapatdnn', 'redimnet', 'sincnet', 'sincnet_tdnn'], 'old_csv': 'dl_model/baseline_train_test_segments.csv', 'old_train_audio_dir': 'datasets/mlp_train/train', 'old_test_audio_dir': 'datasets/mlp_train/test', 'new_test_csv': 'dl_model/baseline_train_test_segments_switchlingua_seame.csv', 'new_test_audio_dir': 'datasets/baseline_switchlingua_seame_testset/test', 'soft_labels_cache': 'dl_model/checkpoints/speechbrain_soft_labels_old_all_eval_new.pt', 'checkpoint_dir': 'dl_model/compare/output/checkpoints_random_duration', 'summary_path': 'dl_model/compare/output/summary_random_duration.json', 'duration_manifest_path': 'dl_model/compare/output/random_duration_manifest.json', 'student_device': 'cuda', 'epochs': 60, 'batch_size': 64, 'lr': 0.0005, 'min_lr': 1e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.03, 'alpha': 0.45, 'temperature': 2.0, 'patience': 10, 'grad_clip': 5.0, 'seed': 42, 'sr': 16000, 'n_mels': 40, 'emb_dim': 192, 'student_channels': [128, 192, 256, 256], 'ecapa_channels': 256, 'redimnet_channels': 48, 'sinc_channels': 80, 'dropout': 0.15, 'time_mask_max': 12, 'freq_mask_max': 8, 'amp': True, 'waveform_aug': True, 'eval_tta_swap': True, 'num_workers': 0, 'benchmark_samples': 100, 'repeat': 1, 'min_half_duration': 1.0, 'max_half_duration': 2.0}"

