model,runs,best_acc_mean,best_acc_std,best_f1_mean,best_f1_std,student_ms_mean,student_ms_std
final_model,1,0.6869369369369369,0.0,0.663716814159292,0.0,3.1667069997638464,0.0
escapetdnn,1,0.6801801801801802,0.0,0.6888454011741684,0.0,8.022114000050351,0.0
ecapatdnn,1,0.6801801801801802,0.0,0.6888454011741684,0.0,12.083245000103489,0.0
redimnet,1,0.6936936936936937,0.0,0.7330827067669172,0.0,4.12583899917081,0.0
sincnet,1,0.7364864864864865,0.0,0.740608228980322,0.0,3.2960270007606596,0.0
sincnet_tdnn,1,0.6531531531531531,0.0,0.6779089376053963,0.0,3.067155999597162,0.0
