model,run,best_acc_epoch,best_f1_epoch,best_acc,best_f1,best_acc_f1,best_f1_acc,student_ms,best_acc_checkpoint,best_f1_checkpoint,final_checkpoint,best_acc_record,best_f1_record
final_model,1,16,7,0.6869369369369369,0.663716814159292,0.6212534059945505,0.6576576576576577,3.1667069997638464,dl_model\compare\output\checkpoints_random_duration\final_model_best_acc.pth,dl_model\compare\output\checkpoints_random_duration\final_model_best_f1.pth,dl_model\compare\output\checkpoints_random_duration\final_model_final.pth,dl_model\compare\output\checkpoints_random_duration\final_model_best_acc_record.json,dl_model\compare\output\checkpoints_random_duration\final_model_best_f1_record.json
escapetdnn,1,12,5,0.6801801801801802,0.6888454011741684,0.6395939086294417,0.6418918918918919,8.022114000050351,dl_model\compare\output\checkpoints_random_duration\escapetdnn_best_acc.pth,dl_model\compare\output\checkpoints_random_duration\escapetdnn_best_f1.pth,dl_model\compare\output\checkpoints_random_duration\escapetdnn_final.pth,dl_model\compare\output\checkpoints_random_duration\escapetdnn_best_acc_record.json,dl_model\compare\output\checkpoints_random_duration\escapetdnn_best_f1_record.json
ecapatdnn,1,12,5,0.6801801801801802,0.6888454011741684,0.6395939086294417,0.6418918918918919,12.083245000103489,dl_model\compare\output\checkpoints_random_duration\ecapatdnn_best_acc.pth,dl_model\compare\output\checkpoints_random_duration\ecapatdnn_best_f1.pth,dl_model\compare\output\checkpoints_random_duration\ecapatdnn_final.pth,dl_model\compare\output\checkpoints_random_duration\ecapatdnn_best_acc_record.json,dl_model\compare\output\checkpoints_random_duration\ecapatdnn_best_f1_record.json
redimnet,1,27,28,0.6936936936936937,0.7330827067669172,0.7081545064377682,0.6801801801801802,4.12583899917081,dl_model\compare\output\checkpoints_random_duration\redimnet_best_acc.pth,dl_model\compare\output\checkpoints_random_duration\redimnet_best_f1.pth,dl_model\compare\output\checkpoints_random_duration\redimnet_final.pth,dl_model\compare\output\checkpoints_random_duration\redimnet_best_acc_record.json,dl_model\compare\output\checkpoints_random_duration\redimnet_best_f1_record.json
sincnet,1,7,1,0.7364864864864865,0.740608228980322,0.7394209354120268,0.6734234234234234,3.2960270007606596,dl_model\compare\output\checkpoints_random_duration\sincnet_best_acc.pth,dl_model\compare\output\checkpoints_random_duration\sincnet_best_f1.pth,dl_model\compare\output\checkpoints_random_duration\sincnet_final.pth,dl_model\compare\output\checkpoints_random_duration\sincnet_best_acc_record.json,dl_model\compare\output\checkpoints_random_duration\sincnet_best_f1_record.json
sincnet_tdnn,1,3,1,0.6531531531531531,0.6779089376053963,0.6577777777777777,0.5698198198198198,3.067155999597162,dl_model\compare\output\checkpoints_random_duration\sincnet_tdnn_best_acc.pth,dl_model\compare\output\checkpoints_random_duration\sincnet_tdnn_best_f1.pth,dl_model\compare\output\checkpoints_random_duration\sincnet_tdnn_final.pth,dl_model\compare\output\checkpoints_random_duration\sincnet_tdnn_best_acc_record.json,dl_model\compare\output\checkpoints_random_duration\sincnet_tdnn_best_f1_record.json

