model,runs,test_acc_mean,test_acc_std,test_f1_mean,test_f1_std,test_err_mean,test_err_std,test_loss_mean,test_loss_std,val_acc_mean,val_acc_std,val_f1_mean,val_f1_std,val_err_mean,val_err_std,val_loss_mean,val_loss_std,train_time_seconds_mean,train_time_seconds_std,test_time_seconds_mean,test_time_seconds_std,test_time_total_seconds_mean,test_time_total_seconds_std,total_time_seconds_mean,total_time_seconds_std,student_ms_mean,student_ms_std,test_1p0_acc_mean,test_1p0_acc_std,test_1p0_err_mean,test_1p0_err_std,test_1p0_f1_mean,test_1p0_f1_std,test_1p0_loss_mean,test_1p0_loss_std,test_1p0_time_seconds_mean,test_1p0_time_seconds_std,test_1p5_acc_mean,test_1p5_acc_std,test_1p5_err_mean,test_1p5_err_std,test_1p5_f1_mean,test_1p5_f1_std,test_1p5_loss_mean,test_1p5_loss_std,test_1p5_time_seconds_mean,test_1p5_time_seconds_std,test_2p0_acc_mean,test_2p0_acc_std,test_2p0_err_mean,test_2p0_err_std,test_2p0_f1_mean,test_2p0_f1_std,test_2p0_loss_mean,test_2p0_loss_std,test_2p0_time_seconds_mean,test_2p0_time_seconds_std
tdnn,1,0.5945945945945946,0.0,0.5238095238095238,0.0,0.4054054054054054,0.0,1.4592823896322165,0.0,0.7988505747126436,0.0,0.8271604938271605,0.0,0.20114942528735635,0.0,0.6120583462989193,0.0,217.04601839999668,0.0,0.19184719998156652,0.0,0.61199880001368,0.0,217.65801720001036,0.0,2.724414999829605,0.0,0.5518018018018018,0.0,0.44819819819819817,0.0,0.474934036939314,0.0,1.547964147619299,0.0,0.22574840002926067,0.0,0.5945945945945946,0.0,0.4054054054054054,0.0,0.5238095238095238,0.0,1.4592823896322165,0.0,0.19184719998156652,0.0,0.5968468468468469,0.0,0.40315315315315314,0.0,0.5301837270341206,0.0,1.31401700157303,0.0,0.19440320000285283,0.0
ecapatdnn,1,0.6486486486486487,0.0,0.6355140186915887,0.0,0.3513513513513513,0.0,0.8735163179603783,0.0,0.8520114942528736,0.0,0.8691232528589581,0.0,0.1479885057471264,0.0,0.42362452118561184,0.0,475.61304880003445,0.0,0.35022729996126145,0.0,1.0372529999585822,0.0,476.65030179999303,0.0,9.88674899970647,0.0,0.6373873873873874,0.0,0.3626126126126126,0.0,0.6552462526766595,0.0,1.07939883502754,0.0,0.31120180001016706,0.0,0.6486486486486487,0.0,0.3513513513513513,0.0,0.6355140186915887,0.0,0.8735163179603783,0.0,0.35022729996126145,0.0,0.6779279279279279,0.0,0.3220720720720721,0.0,0.6587112171837708,0.0,0.7904968965160954,0.0,0.3758238999871537,0.0
resnet,1,0.6103603603603603,0.0,0.5181058495821727,0.0,0.38963963963963966,0.0,1.1948147840328045,0.0,0.8778735632183908,0.0,0.8894668400520156,0.0,0.12212643678160917,0.0,0.35099807535779887,0.0,2173.927705899987,0.0,1.079714999999851,0.0,3.458653299952857,0.0,2177.3863591999398,0.0,11.800413000164554,0.0,0.5630630630630631,0.0,0.4369369369369369,0.0,0.49214659685863876,0.0,1.3911498817237649,0.0,0.7836216999567114,0.0,0.6103603603603603,0.0,0.38963963963963966,0.0,0.5181058495821727,0.0,1.1948147840328045,0.0,1.079714999999851,0.0,0.6509009009009009,0.0,0.3490990990990991,0.0,0.565826330532213,0.0,1.099043994336515,0.0,1.5953165999962948,0.0
