model,run,select_metric,best_epoch,epochs_trained,train_samples,val_samples,test_samples,train_half_duration_mode,train_half_duration_min,train_half_duration_max,val_half_duration_mode,val_half_duration_min,val_half_duration_max,primary_test_half_duration,test_half_durations,train_acc_at_best,train_f1_at_best,train_precision_at_best,train_recall_at_best,train_loss_at_best,train_err_at_best,val_acc_at_best,val_f1_at_best,val_precision_at_best,val_recall_at_best,val_loss_at_best,val_err_at_best,test_acc,test_f1,test_precision,test_recall,test_loss,test_err,test_sample_count,test_time_seconds,test_time_total_seconds,train_time_seconds,total_time_seconds,student_ms,best_checkpoint,test_1p0_acc,test_1p0_f1,test_1p0_precision,test_1p0_recall,test_1p0_loss,test_1p0_err,test_1p0_time_seconds,test_1p0_sample_count,test_1p5_acc,test_1p5_f1,test_1p5_precision,test_1p5_recall,test_1p5_loss,test_1p5_err,test_1p5_time_seconds,test_1p5_sample_count,test_2p0_acc,test_2p0_f1,test_2p0_precision,test_2p0_recall,test_2p0_loss,test_2p0_err,test_2p0_time_seconds,test_2p0_sample_count
tdnn,1,f1,14,24,8946,696,444,random_uniform,1.0,2.0,random_uniform,1.0,2.0,1.5,"1.00,1.50,2.00",0.9783143304270064,0.9785065366718368,0.9699099494838568,0.9872568745808182,0.06043266378411398,0.02168566957299356,0.7988505747126436,0.8271604938271605,0.7251082251082251,0.9626436781609196,0.6120583462989193,0.20114942528735635,0.5945945945945946,0.5238095238095238,0.6346153846153846,0.44594594594594594,1.4592823896322165,0.4054054054054054,444,0.19184719998156652,0.61199880001368,217.04601839999668,217.65801720001036,2.724414999829605,dl_model\compare_stander\output_official\checkpoints_1to2s\tdnn_best_val_f1.pth,0.5518018018018018,0.474934036939314,0.5732484076433121,0.40540540540540543,1.547964147619299,0.44819819819819817,0.22574840002926067,444,0.5945945945945946,0.5238095238095238,0.6346153846153846,0.44594594594594594,1.4592823896322165,0.4054054054054054,0.19184719998156652,444,0.5968468468468469,0.5301837270341206,0.6352201257861635,0.45495495495495497,1.31401700157303,0.40315315315315314,0.19440320000285283,444
ecapatdnn,1,f1,12,22,8946,696,444,random_uniform,1.0,2.0,random_uniform,1.0,2.0,1.5,"1.00,1.50,2.00",0.9883746926000447,0.9883746926000447,0.9883746926000447,0.9883746926000447,0.034641275139475146,0.011625307399955265,0.8520114942528736,0.8691232528589581,0.7790432801822323,0.9827586206896551,0.42362452118561184,0.1479885057471264,0.6486486486486487,0.6355140186915887,0.6601941747572816,0.6126126126126126,0.8735163179603783,0.3513513513513513,444,0.35022729996126145,1.0372529999585822,475.61304880003445,476.65030179999303,9.88674899970647,dl_model\compare_stander\output_official\checkpoints_1to2s\ecapatdnn_best_val_f1.pth,0.6373873873873874,0.6552462526766595,0.6244897959183674,0.6891891891891891,1.07939883502754,0.3626126126126126,0.31120180001016706,444,0.6486486486486487,0.6355140186915887,0.6601941747572816,0.6126126126126126,0.8735163179603783,0.3513513513513513,0.35022729996126145,444,0.6779279279279279,0.6587112171837708,0.700507614213198,0.6216216216216216,0.7904968965160954,0.3220720720720721,0.3758238999871537,444
resnet,1,f1,19,29,8946,696,444,random_uniform,1.0,2.0,random_uniform,1.0,2.0,1.5,"1.00,1.50,2.00",0.9951933825173261,0.9951874650251818,0.9964141640519946,0.993963782696177,0.014330613337229814,0.004806617482673858,0.8778735632183908,0.8894668400520156,0.8123515439429929,0.9827586206896551,0.35099807535779887,0.12212643678160917,0.6103603603603603,0.5181058495821727,0.6788321167883211,0.4189189189189189,1.1948147840328045,0.38963963963963966,444,1.079714999999851,3.458653299952857,2173.927705899987,2177.3863591999398,11.800413000164554,dl_model\compare_stander\output_official\checkpoints_1to2s\resnet_best_val_f1.pth,0.5630630630630631,0.49214659685863876,0.5875,0.42342342342342343,1.3911498817237649,0.4369369369369369,0.7836216999567114,444,0.6103603603603603,0.5181058495821727,0.6788321167883211,0.4189189189189189,1.1948147840328045,0.38963963963963966,1.079714999999851,444,0.6509009009009009,0.565826330532213,0.7481481481481481,0.45495495495495497,1.099043994336515,0.3490990990990991,1.5953165999962948,444
