model,runs,test_acc_mean,test_acc_std,test_f1_mean,test_f1_std,test_err_mean,test_err_std,test_loss_mean,test_loss_std,train_time_seconds_mean,train_time_seconds_std,test_time_seconds_mean,test_time_seconds_std,total_time_seconds_mean,total_time_seconds_std
tdnn,1,0.6013513513513513,0.0,0.5734939759036144,0.0,0.3986486486486487,0.0,1.5308126554832802,0.0,208.84139949997189,0.0,0.39967660000547767,0.0,209.24107609997736,0.0
ecapatdnn,1,0.668918918918919,0.0,0.6016260162601625,0.0,0.33108108108108103,0.0,1.5870526094694395,0.0,706.0258966999827,0.0,0.3642956000403501,0.0,706.390192300023,0.0
resnet,1,0.6779279279279279,0.0,0.5488958990536278,0.0,0.3220720720720721,0.0,1.7252188641745765,0.0,1967.1966932999785,0.0,1.4921217000228353,0.0,1968.6888150000013,0.0
