model,run,select_metric,best_epoch,epochs_trained,train_samples,val_samples,test_samples,train_acc_at_best,train_f1_at_best,train_precision_at_best,train_recall_at_best,train_loss_at_best,train_err_at_best,val_acc_at_best,val_f1_at_best,val_precision_at_best,val_recall_at_best,val_loss_at_best,val_err_at_best,test_acc,test_f1,test_precision,test_recall,test_loss,test_err,test_sample_count,train_time_seconds,test_time_seconds,total_time_seconds,student_ms,best_checkpoint
tdnn,1,f1,12,22,8946,696,444,0.9856919293539012,0.9856887298747765,0.9859091925743682,0.9854683657500559,0.03677522549611822,0.014308070646098847,0.8663793103448276,0.8793774319066149,0.8014184397163121,0.9741379310344828,0.4956938698459631,0.13362068965517238,0.6013513513513513,0.5734939759036144,0.616580310880829,0.536036036036036,1.5308126554832802,0.3986486486486487,444,208.84139949997189,0.39967660000547767,209.24107609997736,2.8504710004199296,dl_model\compare_standard\output_official\checkpoints\tdnn_best_val_f1.pth
ecapatdnn,1,f1,20,30,8946,696,444,0.9978761457634697,0.9978759083286751,0.9979874776386404,0.9977643639615471,0.006505463215107974,0.002123854236530276,0.9066091954022989,0.9136786188579018,0.8493827160493828,0.9885057471264368,0.7256119477551901,0.0933908045977011,0.668918918918919,0.6016260162601625,0.7551020408163265,0.5,1.5870526094694395,0.33108108108108103,444,706.0258966999827,0.3642956000403501,706.390192300023,10.22541199985426,dl_model\compare_standard\output_official\checkpoints\ecapatdnn_best_val_f1.pth
resnet,1,f1,15,25,8946,696,444,0.9918399284596467,0.9917783534181777,0.9993191103041307,0.9843505477308294,0.020720196354208964,0.008160071540353253,0.9066091954022989,0.905933429811867,0.9125364431486881,0.8994252873563219,0.309385611579336,0.0933908045977011,0.6779279279279279,0.5488958990536278,0.9157894736842105,0.3918918918918919,1.7252188641745765,0.3220720720720721,444,1967.1966932999785,1.4921217000228353,1968.6888150000013,14.128244000021368,dl_model\compare_standard\output_official\checkpoints\resnet_best_val_f1.pth
